Datetime(UTC)	WASD2	NCDV2	LWTV2	GTND2	SGSM2
2017-06-23 12:00:00	0.2064400424	0.49523751309999997	0.25802033057	0.402401528	0.37276289928
2017-06-23 13:00:00	0.35689040469	0.40569735578	0.1659580158	0.55378558003	0.32426151098
2017-06-23 14:00:00	0.48653960466	0.28057657177	0.13815653619999999	0.68488876873	0.26379103159999995
2017-06-23 15:00:00	0.6133773106	0.20959498119999997	0.1162451645	0.8123044645	0.2057194564
2017-06-23 16:00:00	0.7049546189	0.16519777959999998	0.10441477129999999	0.9044614387000001	0.2021816494
2017-06-23 17:00:00	0.7164597757	0.13003769159999998	0.1461463026	0.9224917211	0.2441220742
2017-06-23 18:00:00	0.5900537928	0.13028201359999997	0.23986728867	0.791522521	0.3449426483
2017-06-23 19:00:00	0.46525003548	0.1887654676	0.31920951876	0.66610681454	0.41089799659
2017-06-23 20:00:00	0.35231830025	0.3166589244	0.34830871631	0.55363525148	0.4533362776
2017-06-23 21:00:00	0.2576134901	0.39384431055999997	0.37027337752	0.45372624910000003	0.49565153410999996
2017-06-23 22:00:00	0.1652728623	0.43580219018	0.36493649006	0.3681869911	0.50324085922
2017-06-23 23:00:00	0.10234550770000006	0.45731226939999997	0.3218500334	0.3005190575	0.46411221712
2017-06-24 00:00:00	0.15481754199999997	0.43963351410999996	0.23939453173999997	0.34630686670000005	0.36984632888999996
2017-06-24 01:00:00	0.3016571196	0.36838698331999997	0.1647933622	0.5007444288	0.3029074102
2017-06-24 02:00:00	0.434828097835	0.25991175194	0.1267260941	0.634368793769	0.24795727499999998
2017-06-24 03:00:00	0.5479842473000001	0.19621573469999998	0.0883424112	0.7456166076	0.1944181623
2017-06-24 04:00:00	0.6323572281000001	0.1578760853	0.08364105029999999	0.8328027687	0.1802072635
2017-06-24 05:00:00	0.6498754624	0.11972331379999998	0.1347284636	0.8526118539	0.23124030329999998
2017-06-24 06:00:00	0.5504621641	0.10964885529999999	0.23059313131999998	0.7512209183	0.32940470713
2017-06-24 07:00:00	0.436190090107	0.175215466	0.311747673314	0.6395320657782	0.40601112276999995
2017-06-24 08:00:00	0.3274767259	0.30362166010999997	0.36582359158	0.5246606529	0.47039862412
2017-06-24 09:00:00	0.2324422977	0.39657494263	0.4144465517	0.4363859183	0.5316137236
2017-06-24 10:00:00	0.1445485077	0.45328357462	0.4366642825	0.3441253268	0.5678269991
2017-06-24 11:00:00	0.08488270740000003	0.4962712639	0.4269972356	0.2793424646	0.565974353
2017-06-24 12:00:00	0.1492489769	0.5162090190999999	0.36845671476999997	0.3438874374	0.50499252525
2017-06-24 13:00:00	0.29688648770000003	0.496850989	0.27609083363	0.49603785190000005	0.414167386736
2017-06-24 14:00:00	0.431212961919	0.42473675991	0.20767653085999999	0.630269333531	0.34772468823999997
2017-06-24 15:00:00	0.5551971139	0.31859003232	0.15701582509999998	0.7526514124	0.2794125964
2017-06-24 16:00:00	0.660904495	0.24348931359999998	0.126799036	0.860949709	0.23228530269999997
2017-06-24 17:00:00	0.7315049680000001	0.18840259199999998	0.13233635100000002	0.9321488355	0.228410638
2017-06-24 18:00:00	0.7149290024	0.15277646079999996	0.1889366315	0.9183306930999999	0.2818330635
2017-06-24 19:00:00	0.5940274049000001	0.1561889064	0.28287078105999997	0.7951756	0.37921003317999996
2017-06-24 20:00:00	0.47611589211	0.22872621939999999	0.35487298599	0.67405773076	0.44963031057999997
2017-06-24 21:00:00	0.36571210973	0.352777562496	0.39889683528	0.56879002986	0.50595867278
2017-06-24 22:00:00	0.27123569729999997	0.43738559132	0.4250507292	0.4698351908	0.5497172429
2017-06-24 23:00:00	0.18396222350000002	0.48763714810000003	0.4182825258	0.3822132849	0.5575129533
2017-06-25 00:00:00	0.12240545809999998	0.5116898343	0.36313735146	0.3198032809	0.50543540525
2017-06-25 01:00:00	0.1951514004	0.49224245609999995	0.27032958624	0.3958103203	0.40941134241
2017-06-25 02:00:00	0.34373850528	0.41065287169	0.1924606741	0.54116669566	0.33169751912999995
2017-06-25 03:00:00	0.47923251311000004	0.30119103582	0.1410364774	0.67743719915	0.2625206965
2017-06-25 04:00:00	0.6040991866000001	0.22015953759999998	0.10452834679999998	0.8053266517	0.21007275899999997
2017-06-25 05:00:00	0.6912207530000001	0.16751278109999998	0.1086054478	0.891755002	0.2017976557
2017-06-25 06:00:00	0.7050132753	0.1307532796	0.1731304641	0.9088007331	0.2642350045
2017-06-25 07:00:00	0.5913543290000001	0.13256577809999998	0.28498780950999997	0.7925972622	0.37896150571
2017-06-25 08:00:00	0.4721540711	0.21789115809999998	0.37167641820999997	0.6707989695000001	0.46402709355
2017-06-25 09:00:00	0.35894194683	0.35889211696699996	0.4330982914	0.5613726799600001	0.5372093344
2017-06-25 10:00:00	0.2629133612	0.459629519	0.4797919668	0.45921932100000007	0.6010581457999999
2017-06-25 11:00:00	0.1703866035	0.5248539292000001	0.4992070987	0.37167753600000003	0.6342040697
2017-06-25 12:00:00	0.10566397249999998	0.5664354734	0.47352184649999995	0.30377846950000004	0.6176063723
2017-06-25 13:00:00	0.18630421819999998	0.5780722331	0.38719519746	0.38526564440000005	0.5250994984999999
2017-06-25 14:00:00	0.34275189257	0.543658873	0.28268621615	0.5403503994600001	0.426567899729
2017-06-25 15:00:00	0.48589966961	0.43136677668	0.21160512956	0.68321319699	0.34997690966
2017-06-25 16:00:00	0.6237141732	0.31673318406	0.1595919122	0.8219214247	0.27612564529999994
2017-06-25 17:00:00	0.7335041445	0.2412679344	0.129254878	0.9318666878999999	0.23307337069999998
