	WASD2	NCDV2	LWTV2	GTND2	SGSM2
2017-06-28 12:00:00	0.6864362996	0.5460938192	0.31690986526	0.8862170242	0.37649724893
2017-06-28 13:00:00	0.8365147188000001	0.3568568833971	0.1960905067	1.0341487612	0.33866088554999996
2017-06-28 14:00:00	0.95860107	0.29134797223	0.1424091355	1.1598125574	0.269067583
2017-06-28 15:00:00	0.9900109961999999	0.2397138522	0.1982426377	1.1930419795	0.2666576408
2017-06-28 16:00:00	0.8572480634999999	0.1985961073	0.28467362934	1.0584407133	0.35116087221
2017-06-28 17:00:00	0.7080013208	0.22617658159999998	0.4360638485	0.9073368788	0.5390384144
2017-06-28 18:00:00	0.5654959038	0.31030864826	0.5114680879	0.7679549915	0.6054374296
2017-06-28 19:00:00	0.449247668313	0.5002626981	0.5340247956999999	0.6530418918700001	0.6445020274
2017-06-28 20:00:00	0.34907484558	0.6071339362999999	0.5596235263	0.54789795577	0.6979480387999999
2017-06-28 21:00:00	0.2591750893	0.6495720263	0.5539626457	0.4557558771	0.6971942812
2017-06-28 22:00:00	0.1859747894	0.6492525403	0.4654269888	0.3833933775	0.61197216
2017-06-28 23:00:00	0.2839478378	0.6132416609	0.35244245153	0.4870679305	0.49317963974
2017-06-29 00:00:00	0.46289961363	0.5053518902999999	0.27164921593	0.65823966293	0.40917913700999997
2017-06-29 01:00:00	0.6345276235	0.37882398729	0.21136152283999998	0.8330308174	0.32245037921999997
2017-06-29 02:00:00	0.7621637952	0.29056238605999996	0.20974072758999998	0.9612372057	0.3159599144
2017-06-29 03:00:00	0.8523464914000001	0.22755330789999997	0.2589441574	1.0533676292	0.32931699057999997
2017-06-29 04:00:00	0.816182514	0.23669354029999998	0.35349451125	1.0175666992	0.45109022268
2017-06-29 05:00:00	0.6707530935	0.28119553829	0.459410034	0.8715305107	0.5547845013
2017-06-29 06:00:00	0.53783983841	0.43951258697999995	0.5339320057	0.73610519755	0.6316483023999999
2017-06-29 07:00:00	0.42712955232	0.5533418427	0.6065335384	0.62824340926	0.7342060565999999
2017-06-29 08:00:00	0.3264628732	0.6399216928	0.6470521419999999	0.5242392063	0.7615339293
2017-06-29 09:00:00	0.2453985767	0.7041584596999999	0.6270065161	0.4444150042	0.7804333855
2017-06-29 10:00:00	0.2438539244	0.7156966323	0.5553604778000001	0.4272444004	0.6948056546
2017-06-29 11:00:00	0.40583430723	0.7072768665	0.434998278	0.60255405539	0.5785409918
2017-06-29 12:00:00	0.5755193639	0.5939816434	0.32537190151	0.7759726644	0.47155006725
2017-06-29 13:00:00	0.7245907417	0.4674133122	0.24663273509	0.923359507	0.37628281785
2017-06-29 14:00:00	0.8518635681	0.354051909843	0.199884149	1.0519267235	0.3095236472
2017-06-29 15:00:00	0.9417820339	0.28372698565	0.20469499103	1.1415210186	0.2871697089
2017-06-29 16:00:00	0.9137960744	0.234530328	0.28383595282	1.1174275195	0.37755225667
2017-06-29 17:00:00	0.7599845341	0.220572254	0.3760611921	0.9604502718000001	0.4577373499
2017-06-29 18:00:00	0.6209493649	0.32759785079	0.44396479980000003	0.8189245849	0.5414095643
2017-06-29 19:00:00	0.49884699432	0.43895507090999997	0.5318041605999999	0.69780422576	0.6402819503999999
2017-06-29 20:00:00	0.39685749193	0.5480274955	0.5869725688	0.59524116244	0.7059359981
2017-06-29 21:00:00	0.3000954508	0.6297017056	0.5931694437	0.5021399451	0.7350889599999999
2017-06-29 22:00:00	0.2245822178	0.6738879713	0.5451647328	0.4226509766	0.6827651066
2017-06-29 23:00:00	0.2741852153	0.6759496951	0.4551450038	0.4704074252	0.6010882626
2017-06-30 00:00:00	0.43036071536	0.5983159188	0.36619736496	0.630031714752	0.50909551199
2017-06-30 01:00:00	0.5889288079	0.48806534749999997	0.27878987785	0.7887536575	0.40788347265999997
2017-06-30 02:00:00	0.7294451945	0.38306118392	0.22544540219999998	0.9270917021	0.34033626436
2017-06-30 03:00:00	0.8423460798	0.30429728906	0.2102324659	1.044713214	0.31477129589999997
2017-06-30 04:00:00	0.8916577068	0.25638963603	0.20865381314999998	1.0939142326	0.2937801581
2017-06-30 05:00:00	0.7792380009000001	0.24007421289999997	0.29159278304999997	0.9805694684	0.38761422333
2017-06-30 06:00:00	0.6428162829	0.2327220781	0.39672321797	0.8413115856	0.49981741122
2017-06-30 07:00:00	0.5184773004200001	0.34451989619	0.4580271233	0.71910205679	0.5430050518
2017-06-30 08:00:00	0.4177917076	0.47386261009999997	0.5244276508	0.61384852992	0.6388959181
2017-06-30 09:00:00	0.3213235793	0.5461661439	0.5857601732	0.521411317	0.7118454704999999
2017-06-30 10:00:00	0.24373366489999998	0.6198286633	0.5601788487999999	0.4430524682	0.6990443849
2017-06-30 11:00:00	0.19248614670000003	0.6600187128	0.4625879492	0.3867864679	0.6107693907
2017-06-30 12:00:00	0.3116173232	0.6320333868	0.35827644461999997	0.5100480479	0.5031463585
2017-06-30 13:00:00	0.46935486604	0.5104393173	0.27772762388	0.66552348086	0.422597225628
2017-06-30 14:00:00	0.6187800895	0.3831189383	0.1974450467	0.8187497544	0.32082788494
2017-06-30 15:00:00	0.7486350739000001	0.29810837161	0.1392188834	0.9456620775	0.24088034249999998
2017-06-30 16:00:00	0.8498266802000001	0.22606765909999998	0.16937809069999998	1.0518380335000002	0.2617610883
2017-06-30 17:00:00	0.8309403468000001	0.1698004664	0.23363983788999998	1.0329331447	0.3213348698
2017-06-30 18:00:00	0.683404946	0.19177573309999998	0.306830223942	0.8847249186	0.39518623999999997
